Htno,Subcode,Subname,Internal,External,credits
14MT1D5815,G0503,DATA BASE MANAGEMENT SYSTEMS,34,39,1
14MT1D5815,G0504,OPERATING SYSTEM,38,24,1
14MT1D5815,G0505,SOFTWARE ENGINEERING,38,24,1
14MT1D5815,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,34,24,1
14MT1D5815,G5801,CSE LAB,37,40,1
14MT1D5816,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,38,32,1
14MT1D5816,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,25,1
14MT1D5816,G0503,DATA BASE MANAGEMENT SYSTEMS,34,33,1
14MT1D5816,G0504,OPERATING SYSTEM,35,24,1
14MT1D5816,G0505,SOFTWARE ENGINEERING,37,25,1
14MT1D5816,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,35,24,1
14MT1D5816,G5801,CSE LAB,36,39,1
14MT1D5817,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,37,-1,0
14MT1D5817,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,36,-1,0
14MT1D5817,G0503,DATA BASE MANAGEMENT SYSTEMS,36,-1,0
14MT1D5817,G0504,OPERATING SYSTEM,37,25,1
14MT1D5817,G0505,SOFTWARE ENGINEERING,36,29,1
14MT1D5817,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,37,-1,0
14MT1D5817,G5801,CSE LAB,36,47,1
14MT1D5818,G0501,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,37,37,1
14MT1D5818,G0502,COMPUTER ORGANIZATION AND ARCHITECTURE,37,32,1
14MT1D5818,G0503,DATA BASE MANAGEMENT SYSTEMS,36,30,1
14MT1D5818,G0504,OPERATING SYSTEM,37,24,1
14MT1D5818,G0505,SOFTWARE ENGINEERING,37,24,1
14MT1D5818,G4001,ADVANCED DATA STRUCTURES AND ALGORITHM A,36,28,1
14MT1D5818,G5801,CSE LAB,37,40,1
14MT1D7201,G5701,DIGITAL DESIGN USING HDL,36,31,1
14MT1D7201,G6802,VLSI TECHNOLOGY AND DESIGN,37,28,1
14MT1D7201,G6803,CMOS ANALOG IC DESIGN,37,40,1
14MT1D7201,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,33,34,1
14MT1D7201,G6806,DIGITAL SYSTEM DESIGN,35,42,1
14MT1D7201,G6809,CMOS DIGITAL IC DESIGN,36,27,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D7201,G6811,VLSI LABORATORY LAB,35,47,1
14MT1D7202,G5701,DIGITAL DESIGN USING HDL,35,27,1
14MT1D7202,G6802,VLSI TECHNOLOGY AND DESIGN,36,29,1
14MT1D7202,G6803,CMOS ANALOG IC DESIGN,38,25,1
14MT1D7202,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,35,31,1
14MT1D7202,G6806,DIGITAL SYSTEM DESIGN,34,24,1
14MT1D7202,G6809,CMOS DIGITAL IC DESIGN,38,27,1
14MT1D7202,G6811,VLSI LABORATORY LAB,36,44,1
14MT1D7203,G5701,DIGITAL DESIGN USING HDL,34,25,1
14MT1D7203,G6802,VLSI TECHNOLOGY AND DESIGN,34,28,1
14MT1D7203,G6803,CMOS ANALOG IC DESIGN,35,24,1
14MT1D7203,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,36,31,1
14MT1D7203,G6806,DIGITAL SYSTEM DESIGN,35,24,1
14MT1D7203,G6809,CMOS DIGITAL IC DESIGN,36,24,1
14MT1D7203,G6811,VLSI LABORATORY LAB,38,40,1
14MT1D7204,G5701,DIGITAL DESIGN USING HDL,33,25,1
14MT1D7204,G6802,VLSI TECHNOLOGY AND DESIGN,38,24,1
14MT1D7204,G6803,CMOS ANALOG IC DESIGN,32,24,1
14MT1D7204,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,33,30,1
14MT1D7204,G6806,DIGITAL SYSTEM DESIGN,32,34,1
14MT1D7204,G6809,CMOS DIGITAL IC DESIGN,35,24,1
14MT1D7204,G6811,VLSI LABORATORY LAB,35,44,1
14MT1D7205,G5701,DIGITAL DESIGN USING HDL,36,-1,0
14MT1D7205,G6802,VLSI TECHNOLOGY AND DESIGN,35,-1,0
14MT1D7205,G6803,CMOS ANALOG IC DESIGN,37,-1,0
14MT1D7205,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,34,-1,0
14MT1D7205,G6806,DIGITAL SYSTEM DESIGN,34,-1,0
14MT1D7205,G6809,CMOS DIGITAL IC DESIGN,35,12,0
14MT1D7205,G6811,VLSI LABORATORY LAB,39,-1,0
14MT1D7206,G5701,DIGITAL DESIGN USING HDL,37,26,1
14MT1D7206,G6802,VLSI TECHNOLOGY AND DESIGN,37,24,1
14MT1D7206,G6803,CMOS ANALOG IC DESIGN,36,24,1
14MT1D7206,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,33,31,1
14MT1D7206,G6806,DIGITAL SYSTEM DESIGN,36,47,1
14MT1D7206,G6809,CMOS DIGITAL IC DESIGN,36,24,1
14MT1D7206,G6811,VLSI LABORATORY LAB,38,47,1
14MT1D7207,G5701,DIGITAL DESIGN USING HDL,35,34,1
14MT1D7207,G6802,VLSI TECHNOLOGY AND DESIGN,36,29,1
14MT1D7207,G6803,CMOS ANALOG IC DESIGN,35,43,1
14MT1D7207,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,37,36,1
14MT1D7207,G6806,DIGITAL SYSTEM DESIGN,35,46,1
14MT1D7207,G6809,CMOS DIGITAL IC DESIGN,36,29,1
14MT1D7207,G6811,VLSI LABORATORY LAB,37,49,1
14MT1D7208,G5701,DIGITAL DESIGN USING HDL,38,34,1
14MT1D7208,G6802,VLSI TECHNOLOGY AND DESIGN,37,31,1
14MT1D7208,G6803,CMOS ANALOG IC DESIGN,39,26,1
14MT1D7208,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,37,32,1
14MT1D7208,G6806,DIGITAL SYSTEM DESIGN,39,48,1
14MT1D7208,G6809,CMOS DIGITAL IC DESIGN,38,28,1
14MT1D7208,G6811,VLSI LABORATORY LAB,35,43,1
14MT1D7209,G5701,DIGITAL DESIGN USING HDL,38,27,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D7209,G6802,VLSI TECHNOLOGY AND DESIGN,36,28,1
14MT1D7209,G6803,CMOS ANALOG IC DESIGN,38,24,1
14MT1D7209,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,36,25,1
14MT1D7209,G6806,DIGITAL SYSTEM DESIGN,35,26,1
14MT1D7209,G6809,CMOS DIGITAL IC DESIGN,39,24,1
14MT1D7209,G6811,VLSI LABORATORY LAB,36,44,1
14MT1D7210,G5701,DIGITAL DESIGN USING HDL,34,6,0
14MT1D7210,G6802,VLSI TECHNOLOGY AND DESIGN,32,15,0
14MT1D7210,G6803,CMOS ANALOG IC DESIGN,34,3,0
14MT1D7210,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,31,19,0
14MT1D7210,G6806,DIGITAL SYSTEM DESIGN,32,12,0
14MT1D7210,G6809,CMOS DIGITAL IC DESIGN,32,0,0
14MT1D7210,G6811,VLSI LABORATORY LAB,34,42,1
14MT1D7211,G5701,DIGITAL DESIGN USING HDL,35,29,1
14MT1D7211,G6802,VLSI TECHNOLOGY AND DESIGN,38,26,1
14MT1D7211,G6803,CMOS ANALOG IC DESIGN,34,29,1
14MT1D7211,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,35,31,1
14MT1D7211,G6806,DIGITAL SYSTEM DESIGN,36,37,1
14MT1D7211,G6809,CMOS DIGITAL IC DESIGN,36,24,1
14MT1D7211,G6811,VLSI LABORATORY LAB,37,40,1
14MT1D7212,G5701,DIGITAL DESIGN USING HDL,37,27,1
14MT1D7212,G6802,VLSI TECHNOLOGY AND DESIGN,39,32,1
14MT1D7212,G6803,CMOS ANALOG IC DESIGN,39,34,1
14MT1D7212,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,37,27,1
14MT1D7212,G6806,DIGITAL SYSTEM DESIGN,30,38,1
14MT1D7212,G6809,CMOS DIGITAL IC DESIGN,38,24,1
14MT1D7212,G6811,VLSI LABORATORY LAB,39,42,1
14MT1D7213,G5701,DIGITAL DESIGN USING HDL,34,26,1
14MT1D7213,G6802,VLSI TECHNOLOGY AND DESIGN,37,31,1
14MT1D7213,G6803,CMOS ANALOG IC DESIGN,32,36,1
14MT1D7213,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,36,27,1
14MT1D7213,G6806,DIGITAL SYSTEM DESIGN,36,24,1
14MT1D7213,G6809,CMOS DIGITAL IC DESIGN,37,24,1
14MT1D7213,G6811,VLSI LABORATORY LAB,37,42,1
14MT1D7214,G5701,DIGITAL DESIGN USING HDL,36,28,1
14MT1D7214,G6802,VLSI TECHNOLOGY AND DESIGN,34,24,1
14MT1D7214,G6803,CMOS ANALOG IC DESIGN,35,24,1
14MT1D7214,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,34,32,1
14MT1D7214,G6806,DIGITAL SYSTEM DESIGN,31,34,1
14MT1D7214,G6809,CMOS DIGITAL IC DESIGN,35,12,0
14MT1D7214,G6811,VLSI LABORATORY LAB,35,40,1
14MT1D7215,G5701,DIGITAL DESIGN USING HDL,32,29,1
14MT1D7215,G6802,VLSI TECHNOLOGY AND DESIGN,36,24,1
14MT1D7215,G6803,CMOS ANALOG IC DESIGN,37,29,1
14MT1D7215,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,31,28,1
14MT1D7215,G6806,DIGITAL SYSTEM DESIGN,36,28,1
14MT1D7215,G6809,CMOS DIGITAL IC DESIGN,37,9,0
14MT1D7215,G6811,VLSI LABORATORY LAB,38,-1,0
14MT1D7216,G5701,DIGITAL DESIGN USING HDL,33,27,1
14MT1D7216,G6802,VLSI TECHNOLOGY AND DESIGN,34,31,1
14MT1D7216,G6803,CMOS ANALOG IC DESIGN,36,24,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D7216,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,31,32,1
14MT1D7216,G6806,DIGITAL SYSTEM DESIGN,35,24,1
14MT1D7216,G6809,CMOS DIGITAL IC DESIGN,37,27,1
14MT1D7216,G6811,VLSI LABORATORY LAB,36,40,1
14MT1D7217,G5701,DIGITAL DESIGN USING HDL,37,28,1
14MT1D7217,G6802,VLSI TECHNOLOGY AND DESIGN,35,-1,0
14MT1D7217,G6803,CMOS ANALOG IC DESIGN,35,35,1
14MT1D7217,G6804,CPLD AND FPGA ARCHITECTURES AND APPLICAT,37,28,1
14MT1D7217,G6806,DIGITAL SYSTEM DESIGN,36,28,1
14MT1D7217,G6809,CMOS DIGITAL IC DESIGN,38,24,1
14MT1D7217,G6811,VLSI LABORATORY LAB,38,40,1
14MT1D9501,G9501,ADVANCED CONTROL THEORY,34,27,1
14MT1D9501,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,36,24,1
14MT1D9501,G9503,STOCHASTIC ESTIMATION AND CONTROL,35,26,1
14MT1D9501,G9504,SYSTEM AND PARAMETER IDENTIFICATION,36,33,1
14MT1D9501,G9506,CONTROL OF SPECIAL MACHICES,36,24,1
14MT1D9501,G9507,MICRO CONTROLLER & APPLICATIONS,32,32,1
14MT1D9501,G9509,CONTROL SYSTEMS SIMULATION LAB,34,54,1
14MT1D9502,G9501,ADVANCED CONTROL THEORY,35,-1,0
14MT1D9502,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,-1,0
14MT1D9502,G9503,STOCHASTIC ESTIMATION AND CONTROL,33,-1,0
14MT1D9502,G9504,SYSTEM AND PARAMETER IDENTIFICATION,35,-1,0
14MT1D9502,G9506,CONTROL OF SPECIAL MACHICES,35,-1,0
14MT1D9502,G9507,MICRO CONTROLLER & APPLICATIONS,34,-1,0
14MT1D9502,G9509,CONTROL SYSTEMS SIMULATION LAB,35,-1,0
14MT1D9503,G9501,ADVANCED CONTROL THEORY,33,26,1
14MT1D9503,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,33,28,1
14MT1D9503,G9503,STOCHASTIC ESTIMATION AND CONTROL,36,32,1
14MT1D9503,G9504,SYSTEM AND PARAMETER IDENTIFICATION,32,33,1
14MT1D9503,G9506,CONTROL OF SPECIAL MACHICES,34,25,1
14MT1D9503,G9507,MICRO CONTROLLER & APPLICATIONS,34,31,1
14MT1D9503,G9509,CONTROL SYSTEMS SIMULATION LAB,37,47,1
14MT1D9504,G9501,ADVANCED CONTROL THEORY,34,24,1
14MT1D9504,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,28,1
14MT1D9504,G9503,STOCHASTIC ESTIMATION AND CONTROL,33,32,1
14MT1D9504,G9504,SYSTEM AND PARAMETER IDENTIFICATION,34,34,1
14MT1D9504,G9506,CONTROL OF SPECIAL MACHICES,35,24,1
14MT1D9504,G9507,MICRO CONTROLLER & APPLICATIONS,35,29,1
14MT1D9504,G9509,CONTROL SYSTEMS SIMULATION LAB,34,46,1
14MT1D9505,G9501,ADVANCED CONTROL THEORY,36,25,1
14MT1D9505,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,31,1
14MT1D9505,G9503,STOCHASTIC ESTIMATION AND CONTROL,34,32,1
14MT1D9505,G9504,SYSTEM AND PARAMETER IDENTIFICATION,32,37,1
14MT1D9505,G9506,CONTROL OF SPECIAL MACHICES,34,24,1
14MT1D9505,G9507,MICRO CONTROLLER & APPLICATIONS,34,26,1
14MT1D9505,G9509,CONTROL SYSTEMS SIMULATION LAB,34,48,1
14MT1D9506,G9501,ADVANCED CONTROL THEORY,35,18,0
14MT1D9506,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,36,24,1
14MT1D9506,G9503,STOCHASTIC ESTIMATION AND CONTROL,36,24,1
14MT1D9506,G9504,SYSTEM AND PARAMETER IDENTIFICATION,37,25,1
14MT1D9506,G9506,CONTROL OF SPECIAL MACHICES,34,24,1
Htno,Subcode,Subname,Internal,External,credits
14MT1D9506,G9507,MICRO CONTROLLER & APPLICATIONS,33,24,1
14MT1D9506,G9509,CONTROL SYSTEMS SIMULATION LAB,35,49,1
14MT1D9507,G9501,ADVANCED CONTROL THEORY,34,24,1
14MT1D9507,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,34,24,1
14MT1D9507,G9503,STOCHASTIC ESTIMATION AND CONTROL,33,17,0
14MT1D9507,G9504,SYSTEM AND PARAMETER IDENTIFICATION,35,25,1
14MT1D9507,G9506,CONTROL OF SPECIAL MACHICES,36,24,1
14MT1D9507,G9507,MICRO CONTROLLER & APPLICATIONS,35,14,0
14MT1D9507,G9509,CONTROL SYSTEMS SIMULATION LAB,34,47,1
14MT1D9508,G9501,ADVANCED CONTROL THEORY,36,27,1
14MT1D9508,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,34,36,1
14MT1D9508,G9503,STOCHASTIC ESTIMATION AND CONTROL,36,36,1
14MT1D9508,G9504,SYSTEM AND PARAMETER IDENTIFICATION,33,39,1
14MT1D9508,G9506,CONTROL OF SPECIAL MACHICES,36,25,1
14MT1D9508,G9507,MICRO CONTROLLER & APPLICATIONS,34,34,1
14MT1D9508,G9509,CONTROL SYSTEMS SIMULATION LAB,32,52,1
14MT1D9509,G9501,ADVANCED CONTROL THEORY,34,27,1
14MT1D9509,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,26,1
14MT1D9509,G9503,STOCHASTIC ESTIMATION AND CONTROL,34,24,1
14MT1D9509,G9504,SYSTEM AND PARAMETER IDENTIFICATION,35,33,1
14MT1D9509,G9506,CONTROL OF SPECIAL MACHICES,33,29,1
14MT1D9509,G9507,MICRO CONTROLLER & APPLICATIONS,35,25,1
14MT1D9509,G9509,CONTROL SYSTEMS SIMULATION LAB,38,49,1
14MT1D9510,G9501,ADVANCED CONTROL THEORY,33,24,1
14MT1D9510,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,33,29,1
14MT1D9510,G9503,STOCHASTIC ESTIMATION AND CONTROL,35,26,1
14MT1D9510,G9504,SYSTEM AND PARAMETER IDENTIFICATION,34,34,1
14MT1D9510,G9506,CONTROL OF SPECIAL MACHICES,36,24,1
14MT1D9510,G9507,MICRO CONTROLLER & APPLICATIONS,32,32,1
14MT1D9510,G9509,CONTROL SYSTEMS SIMULATION LAB,37,48,1
14MT1D9511,G9501,ADVANCED CONTROL THEORY,35,25,1
14MT1D9511,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,24,1
14MT1D9511,G9503,STOCHASTIC ESTIMATION AND CONTROL,34,30,1
14MT1D9511,G9504,SYSTEM AND PARAMETER IDENTIFICATION,33,34,1
14MT1D9511,G9506,CONTROL OF SPECIAL MACHICES,37,28,1
14MT1D9511,G9507,MICRO CONTROLLER & APPLICATIONS,36,30,1
14MT1D9511,G9509,CONTROL SYSTEMS SIMULATION LAB,34,51,1
14MT1D9512,G9501,ADVANCED CONTROL THEORY,36,-1,0
14MT1D9512,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,35,-1,0
14MT1D9512,G9503,STOCHASTIC ESTIMATION AND CONTROL,34,-1,0
14MT1D9512,G9504,SYSTEM AND PARAMETER IDENTIFICATION,32,-1,0
14MT1D9512,G9506,CONTROL OF SPECIAL MACHICES,34,-1,0
14MT1D9512,G9507,MICRO CONTROLLER & APPLICATIONS,34,-1,0
14MT1D9512,G9509,CONTROL SYSTEMS SIMULATION LAB,35,-1,0
14MT1D9513,G9501,ADVANCED CONTROL THEORY,35,-1,0
14MT1D9513,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,36,-1,0
14MT1D9513,G9503,STOCHASTIC ESTIMATION AND CONTROL,36,-1,0
14MT1D9513,G9504,SYSTEM AND PARAMETER IDENTIFICATION,37,-1,0
14MT1D9513,G9506,CONTROL OF SPECIAL MACHICES,34,-1,0
14MT1D9513,G9507,MICRO CONTROLLER & APPLICATIONS,33,-1,0
14MT1D9513,G9509,CONTROL SYSTEMS SIMULATION LAB,34,-1,0
Htno,Subcode,Subname,Internal,External,credits
14MT1D9514,G9501,ADVANCED CONTROL THEORY,34,-1,0
14MT1D9514,G9502,ADVANCED DIGITAL CONTROL SYSTEMS,34,24,1
14MT1D9514,G9503,STOCHASTIC ESTIMATION AND CONTROL,33,25,1
14MT1D9514,G9504,SYSTEM AND PARAMETER IDENTIFICATION,35,33,1
14MT1D9514,G9506,CONTROL OF SPECIAL MACHICES,36,18,0
14MT1D9514,G9507,MICRO CONTROLLER & APPLICATIONS,35,24,1
14MT1D9514,G9509,CONTROL SYSTEMS SIMULATION LAB,35,46,1
